Gene ,XC1,XC3,C1,C3
AT3G62680,13.82117998,170.4775417,0,376.1966744
AT1G49980,276.7845482,170.2843147,88.59944045,60.41544303
AT5G56870,21.53393461,166.2541418,0.59458939,509.9114294
AT3G01600,25.53477934,157.7134877,5.468879576,25.80418878
AT4G22960,24.66537022,154.1985867,1.901343233,1.395385468
AT2G30250,124.1962602,150.3052072,35.5443602,54.07374881
AT4G11320,22.24889787,148.204242,0.633781078,636.5061122
AT5G55490,510.8326804,146.2320949,126.7965,6.451047195
AT2G46180,168.4996963,137.6699712,80.43866982,50.88467621
AT5G11460,21.28230893,137.6485015,1.228370468,19.84257074
AT5G23910,79.25247917,131.667651,2.456740936,19.75144325
AT5G66130,234.9748074,128.0533771,48.97805198,12.50379272
AT4G35740,149.9427515,124.2029369,31.89844048,26.27539243
AT5G51730,225.0598969,120.7898655,86.54133047,29.46446504
AT5G49110,161.1930132,117.8705964,39.26866329,12.8656434
AT5G47990,12.29407364,116.7167532,0,332.0675603
AT1G17460,150.4260459,115.0237117,54.6036983,18.52008725
AT1G72790,92.04980416,114.2992618,43.66593915,35.21003638
AT1G28410,59.72894537,110.9291297,13.51207515,49.81469042
AT3G02400,217.1128689,110.6420486,62.52931881,28.14198156
AT2G46610,373.2811824,109.029367,123.4383503,33.81465091
AT3G18940,123.2669804,104.9697489,57.89017875,51.57192657
AT5G64060,14.86499185,92.48480055,1.267562155,4.602683569
AT2G23150,70.36142369,85.894824,18.30798196,37.38379969
AT4G14970,85.86415588,82.30201979,42.24161025,29.62849451
AT1G51130,234.8776276,81.64995438,50.40238088,15.63818884
AT1G03440,79.0008535,76.9168012,30.67007002,36.04309071
AT3G19210,80.49065066,76.54384143,30.55249495,23.12277082
AT3G52115,119.84661,71.61746126,17.94854269,9.731247282
AT4G25330,13.97562584,70.54152129,0.633781078,0.452978158
AT1G13330,71.88853003,69.79560176,7.964812199,4.186156404
AT2G18600,137.3970522,69.32326913,61.21585089,7.429905498
AT4G19130,34.4457917,69.02821256,3.090522014,10.09309796
AT4G29170,131.811835,65.70899525,23.81605322,15.61996334
AT2G36780,470.4355138,59.79255378,149.9003888,5.055661727
AT3G20490,122.7637291,59.44106367,46.20106346,18.52008725
AT4G13370,46.27652776,58.19336638,1.189178781,21.2561817
AT5G45400,46.87435433,57.46891652,10.97695084,18.97306541
AT4G28950,175.6892427,55.16674892,21.51607904,6.958701843
AT3G42860,219.0087376,50.0900811,68.2725402,11.5978364
AT1G76790,15.73440098,48.42648471,45.37132395,146.4737046
AT1G02640,54.27821723,47.02052431,171.9259598,124.0564097
AT1G07500,531.554472,46.71197354,168.1758932,5.03743623
AT2G03090,23.29270974,38.43693093,65.58064914,80.85679589
AT1G64970,29.57553784,24.66134595,92.84666365,8.354087311
AT4G10265,383.7193011,18.70196515,180.296117,5.128563713
AT4G39500,96.34218833,16.57953033,36.06056622,0.471203655
